Reflectivity signal measured in H2O ice compressed at 84 GPa
Measurement conducted by Sergey Nikitin in May 2014
Time (ns)	Amplitude (V)
2.084507e-01 	 6.454200e-05
2.094930e-01 	 6.470400e-05
2.105352e-01 	 6.479000e-05
2.115775e-01 	 6.475400e-05
2.126197e-01 	 6.466800e-05
2.136620e-01 	 6.451700e-05
2.147042e-01 	 6.435400e-05
2.157465e-01 	 6.423400e-05
2.167887e-01 	 6.414400e-05
2.178310e-01 	 6.410800e-05
2.188732e-01 	 6.416400e-05
2.199155e-01 	 6.427500e-05
2.209577e-01 	 6.445500e-05
2.220000e-01 	 6.462800e-05
2.230422e-01 	 6.477600e-05
2.240845e-01 	 6.489900e-05
2.251268e-01 	 6.489900e-05
2.261690e-01 	 6.484300e-05
2.272113e-01 	 6.475200e-05
2.282535e-01 	 6.456900e-05
2.292958e-01 	 6.437700e-05
2.303380e-01 	 6.426300e-05
2.313803e-01 	 6.425500e-05
2.324225e-01 	 6.427700e-05
2.334648e-01 	 6.436300e-05
2.345070e-01 	 6.453200e-05
2.355493e-01 	 6.464900e-05
2.365915e-01 	 6.485600e-05
2.376338e-01 	 6.499400e-05
2.386761e-01 	 6.502400e-05
2.397183e-01 	 6.500200e-05
2.407606e-01 	 6.491800e-05
2.418028e-01 	 6.481400e-05
2.428451e-01 	 6.467100e-05
2.438873e-01 	 6.453600e-05
2.449296e-01 	 6.442900e-05
2.459718e-01 	 6.443600e-05
2.470141e-01 	 6.448300e-05
2.480563e-01 	 6.463500e-05
2.490986e-01 	 6.480800e-05
2.501408e-01 	 6.497000e-05
2.511831e-01 	 6.505900e-05
2.522253e-01 	 6.515500e-05
2.532676e-01 	 6.519800e-05
2.543099e-01 	 6.513900e-05
2.553521e-01 	 6.505200e-05
2.563944e-01 	 6.491600e-05
2.574366e-01 	 6.477400e-05
2.584789e-01 	 6.463700e-05
2.595211e-01 	 6.457900e-05
2.605634e-01 	 6.458100e-05
2.616056e-01 	 6.461700e-05
2.626479e-01 	 6.474500e-05
2.636901e-01 	 6.491300e-05
2.647324e-01 	 6.506900e-05
2.657746e-01 	 6.521900e-05
2.668169e-01 	 6.529400e-05
2.678591e-01 	 6.522900e-05
2.689014e-01 	 6.513200e-05
2.699437e-01 	 6.495400e-05
2.709859e-01 	 6.478500e-05
2.720282e-01 	 6.464600e-05
2.730704e-01 	 6.459800e-05
2.741127e-01 	 6.455300e-05
2.751549e-01 	 6.461300e-05
2.761972e-01 	 6.474100e-05
2.772394e-01 	 6.492000e-05
2.782817e-01 	 6.509700e-05
2.793239e-01 	 6.521200e-05
2.803662e-01 	 6.530000e-05
2.814084e-01 	 6.533400e-05
2.824507e-01 	 6.529000e-05
2.834930e-01 	 6.515900e-05
2.845352e-01 	 6.504500e-05
2.855775e-01 	 6.487200e-05
2.866197e-01 	 6.476400e-05
2.876620e-01 	 6.472600e-05
2.887042e-01 	 6.480100e-05
2.897465e-01 	 6.489200e-05
2.907887e-01 	 6.503800e-05
2.918310e-01 	 6.518000e-05
2.928732e-01 	 6.533500e-05
2.939155e-01 	 6.544600e-05
2.949577e-01 	 6.545400e-05
2.960000e-01 	 6.543400e-05
2.970422e-01 	 6.535700e-05
2.980845e-01 	 6.520400e-05
2.991268e-01 	 6.504300e-05
3.001690e-01 	 6.491900e-05
3.012113e-01 	 6.482400e-05
