Freq (Hz)	Sonde/GEN_Mod	Sonde/GEN_Phase(rad)
198.000000000000030E+0	194.802277927158290E-3	31.517045845108097E+0
199.000000000000030E+0	199.779826626780870E-3	31.492406094508475E+0
200.000000000000030E+0	197.558406516388730E-3	31.470492939836511E+0
201.000000000000030E+0	210.926038250339480E-3	31.427186586171050E+0
202.000000000000030E+0	221.532190960522430E-3	31.417449795015116E+0
203.000000000000030E+0	222.014232341775500E-3	31.419929017360626E+0
204.000000000000030E+0	228.701073891609790E-3	31.372295709404948E+0
205.000000000000030E+0	231.505457238328800E-3	31.369365710498453E+0
206.000000000000030E+0	231.698622379090640E-3	31.303109167178459E+0
207.000000000000030E+0	251.213502543430170E-3	31.322623272699310E+0
208.000000000000030E+0	256.291669313584550E-3	31.307444553810868E+0
209.000000000000030E+0	255.722142452351810E-3	31.298400413719889E+0
210.000000000000030E+0	260.998211824802980E-3	31.259634755705985E+0
211.000000000000030E+0	276.779271275992390E-3	31.239605476154004E+0
212.000000000000030E+0	285.220857147475080E-3	31.216942610191523E+0
213.000000000000030E+0	289.411526258636980E-3	31.207647014738924E+0
214.000000000000030E+0	302.285236946016940E-3	31.213199775210196E+0
215.000000000000030E+0	293.007442334454970E-3	31.186573325312565E+0
216.000000000000030E+0	320.116700893522180E-3	31.130570811267514E+0
217.000000000000030E+0	326.960587602013080E-3	31.145188577472087E+0
218.000000000000030E+0	341.891788703813430E-3	31.131942341832683E+0
219.000000000000030E+0	337.401610461282860E-3	31.108311390716747E+0
220.000000000000030E+0	354.246562498553850E-3	31.084574404904600E+0
221.000000000000030E+0	358.130940676114280E-3	31.053277487584690E+0
222.000000000000030E+0	372.703101257508500E-3	31.039448806549913E+0
223.000000000000030E+0	390.807260203570650E-3	31.047893723873489E+0
224.000000000000030E+0	390.914700717763350E-3	31.058945428805060E+0
225.000000000000030E+0	406.752245610517930E-3	30.983388453722291E+0
226.000000000000030E+0	419.111333342177650E-3	30.974648376084151E+0
227.000000000000030E+0	439.667224103838570E-3	30.970845023741422E+0
228.000000000000030E+0	446.878062136473960E-3	30.966151979133343E+0
229.000000000000030E+0	466.133541023769470E-3	30.941191062732130E+0
230.000000000000030E+0	466.744215267464730E-3	30.935652980520942E+0
231.000000000000030E+0	485.031997616384660E-3	30.893019107807884E+0
232.000000000000030E+0	522.687775420757060E-3	30.881989957433632E+0
233.000000000000030E+0	529.789801400564640E-3	30.899179061844780E+0
234.000000000000030E+0	533.550996291739740E-3	30.874073061932616E+0
235.000000000000030E+0	555.355191472440500E-3	30.850656642110188E+0
236.000000000000030E+0	590.438685743605030E-3	30.833206347548344E+0
237.000000000000030E+0	591.765167481042350E-3	30.821259193473121E+0
238.000000000000030E+0	643.090688031174530E-3	30.820661304227862E+0
239.000000000000030E+0	650.791511430807710E-3	30.812756628791931E+0
240.000000000000030E+0	668.864081408582670E-3	30.779467839111795E+0
241.000000000000030E+0	710.920416095823350E-3	30.748859798254610E+0
242.000000000000030E+0	758.481165748123740E-3	30.775498742410981E+0
243.000000000000030E+0	785.783221235931920E-3	30.758080817195086E+0
244.000000000000030E+0	804.895443947671980E-3	30.744796032714056E+0
245.000000000000030E+0	865.227743320978850E-3	30.749488357594828E+0
246.000000000000030E+0	898.917317945940650E-3	30.697578551274226E+0
247.000000000000030E+0	969.363118694631990E-3	30.685980256435879E+0
248.000000000000030E+0	1.035599752672624E+0	30.665164822776273E+0
249.000000000000030E+0	1.065120876116748E+0	30.681355518359126E+0
250.000000000000030E+0	1.148099566456727E+0	30.611156898317830E+0
251.000000000000030E+0	1.229140569151093E+0	30.611749713351124E+0
252.000000000000030E+0	1.289020058126372E+0	30.606651953765336E+0
253.000000000000030E+0	1.402983882621111E+0	30.577879810074933E+0
254.000000000000030E+0	1.501021280322744E+0	30.559814381213577E+0
255.000000000000030E+0	1.628401239062333E+0	30.535387408454593E+0
256.000000000000060E+0	1.729336925549762E+0	30.499485549556507E+0
257.000000000000060E+0	1.989492981236117E+0	30.486914538207333E+0
