Freq (Hz)	accelerometre /source_source_Mod	accelerometre /source_source_Phase(rad)
255.000000000000030E+0	251.637094991269240E-3	20.741603647684105E+0
256.000000000000060E+0	222.755950568067600E-3	20.837329415211091E+0
257.000000000000060E+0	176.807526453503560E-3	20.471768385790671E+0
258.000000000000060E+0	294.708134112148630E-3	20.521497621589091E+0
259.000000000000060E+0	97.600293982215661E-3	22.052341003180487E+0
260.000000000000060E+0	67.025858478460709E-3	20.697005678330644E+0
261.000000000000060E+0	59.154863842834922E-3	21.874249081789696E+0
262.000000000000060E+0	90.124607120195252E-3	24.894774731072115E+0
263.000000000000060E+0	211.352860357632290E-3	25.616893573221912E+0
264.000000000000060E+0	286.326353847778550E-3	26.299638456044921E+0
265.000000000000060E+0	276.814136673824930E-3	26.658443013596191E+0
266.000000000000060E+0	246.004576537449780E-3	27.038245669489104E+0
267.000000000000060E+0	155.986287287396860E-3	26.938390943912179E+0
268.000000000000060E+0	235.927506068963480E-3	26.791841322624599E+0
269.000000000000060E+0	162.726451597173360E-3	27.019430499450799E+0
270.000000000000060E+0	182.735138953548810E-3	26.808906916446112E+0
271.000000000000060E+0	195.196651308255280E-3	27.299609147696728E+0
272.000000000000060E+0	127.669777979523610E-3	26.043829834230554E+0
273.000000000000060E+0	211.630782559978830E-3	26.224655358356266E+0
274.000000000000060E+0	256.782729389164740E-3	26.357977974671879E+0
275.000000000000060E+0	213.815190881676750E-3	26.598069862133745E+0
276.000000000000060E+0	158.026087983660300E-3	26.358875101198304E+0
277.000000000000060E+0	156.433007587865660E-3	26.399329058204909E+0
278.000000000000060E+0	140.564887388638340E-3	25.983212848672665E+0
279.000000000000060E+0	155.695601973623560E-3	26.276705122954390E+0
280.000000000000060E+0	157.006759274337270E-3	26.998830633057352E+0
281.000000000000060E+0	203.162181906242630E-3	27.806596189348120E+0
282.000000000000060E+0	81.824973856653702E-3	29.066083713899598E+0
283.000000000000060E+0	122.075720167655430E-3	26.768989204546486E+0
284.000000000000060E+0	378.372916209897210E-3	27.115498251529299E+0
285.000000000000060E+0	394.434999691210430E-3	27.662908421181019E+0
286.000000000000060E+0	357.794981387438760E-3	27.467272968148819E+0
287.000000000000060E+0	465.466776117428430E-3	27.222783740384518E+0
288.000000000000060E+0	465.263006843454560E-3	27.077942308748092E+0
289.000000000000060E+0	564.647284981461110E-3	26.853455656356477E+0
290.000000000000060E+0	663.187867330045870E-3	26.790881143208942E+0
291.000000000000060E+0	538.078028797965620E-3	26.830114890106508E+0
292.000000000000060E+0	533.875036929974400E-3	26.457043638537829E+0
293.000000000000060E+0	663.560586622867760E-3	26.361289510037526E+0
294.000000000000060E+0	699.716881583466010E-3	26.406366501703687E+0
295.000000000000060E+0	678.404076335670790E-3	26.427708554910623E+0
296.000000000000060E+0	713.236590360517900E-3	26.216001247439589E+0
297.000000000000060E+0	1.004849125079234E+0	26.105648824888647E+0
298.000000000000060E+0	1.033209992637981E+0	26.061818122624466E+0
299.000000000000060E+0	1.050475105157873E+0	25.856624635567531E+0
300.000000000000060E+0	951.127800906394370E-3	25.618293696217052E+0
301.000000000000060E+0	1.001381036193889E+0	25.391257846828204E+0
302.000000000000060E+0	780.672859669898080E-3	25.268122976456731E+0
303.000000000000060E+0	445.857136365089170E-3	25.040891312395235E+0
304.000000000000060E+0	487.273071575490600E-3	24.782674277657840E+0
305.000000000000060E+0	379.616202435507750E-3	24.765737216724879E+0
306.000000000000060E+0	439.611477968021580E-3	25.215202427490041E+0
307.000000000000060E+0	396.217412374441470E-3	25.380910609920470E+0
308.000000000000060E+0	431.120484589235130E-3	25.350302757187421E+0
309.000000000000060E+0	462.703848966092730E-3	25.502077824331369E+0
310.000000000000060E+0	374.284650151426260E-3	25.566528280035154E+0
311.000000000000060E+0	391.487771484118620E-3	25.505606865492869E+0
312.000000000000060E+0	429.215722292458080E-3	25.482649366073311E+0
313.000000000000060E+0	526.705088801369460E-3	25.567562161751258E+0
314.000000000000060E+0	486.411962595626190E-3	25.558379111611604E+0
315.000000000000060E+0	565.486009752153020E-3	25.513334849992187E+0
316.000000000000060E+0	547.900193404864290E-3	25.515035489778711E+0
317.000000000000060E+0	568.389556273507070E-3	25.365403199128959E+0
318.000000000000060E+0	645.441159380177320E-3	25.253143261491886E+0
319.000000000000060E+0	798.246674179270640E-3	25.239647966546496E+0
320.000000000000060E+0	721.399422009274760E-3	25.316832387915852E+0
321.000000000000060E+0	689.256899273985260E-3	25.213644159630213E+0
322.000000000000060E+0	738.834806781132780E-3	25.171735693765907E+0
323.000000000000060E+0	685.040115525584410E-3	25.128430166001024E+0
324.000000000000060E+0	715.887803989651130E-3	24.943927110570772E+0
325.000000000000060E+0	777.223666421592240E-3	25.001279979888036E+0
326.000000000000060E+0	762.045714001211020E-3	24.971389971624792E+0
327.000000000000060E+0	750.137337119505250E-3	24.876323450834185E+0
328.000000000000060E+0	804.733697723417070E-3	24.707216973319085E+0
329.000000000000060E+0	929.176179369295090E-3	24.823898556450896E+0
330.000000000000060E+0	844.449336902543760E-3	24.758854785645735E+0
331.000000000000060E+0	844.892252026082650E-3	24.639622104216333E+0
332.000000000000060E+0	1.010487069277681E+0	24.481640491256964E+0
333.000000000000060E+0	1.095320724278948E+0	24.537829740908013E+0
334.000000000000060E+0	1.037132009022277E+0	24.459982225974102E+0
335.000000000000060E+0	1.049199693060784E+0	24.278940619751168E+0
336.000000000000060E+0	1.096092439125699E+0	24.152346680645316E+0
337.000000000000060E+0	1.061896797552024E+0	23.995472437971379E+0
338.000000000000060E+0	1.140871954444154E+0	23.702954136630417E+0
339.000000000000060E+0	1.138353880221108E+0	23.603405726457108E+0
340.000000000000060E+0	1.091492800736007E+0	23.423142936676275E+0
341.000000000000060E+0	993.311391749926770E-3	23.258402704553056E+0
342.000000000000060E+0	821.625815432569180E-3	23.104996077153316E+0
343.000000000000060E+0	667.927307950024200E-3	22.936897091215439E+0
344.000000000000060E+0	535.037161988995540E-3	22.791852269457294E+0
345.000000000000060E+0	426.171627458703740E-3	22.526712492816120E+0
346.000000000000060E+0	370.632446359038910E-3	22.321492442185328E+0
347.000000000000060E+0	375.137479704153340E-3	22.183625488896876E+0
348.000000000000060E+0	316.160736359285880E-3	22.372085829679495E+0
349.000000000000060E+0	221.582579578475410E-3	22.239221708291065E+0
350.000000000000060E+0	173.486675408343010E-3	21.422634366537924E+0
351.000000000000060E+0	288.180972076106820E-3	21.825851093307733E+0
352.000000000000060E+0	27.299299985552236E-3	20.722248616779233E+0
353.000000000000060E+0	201.794595235937650E-3	19.869649250050482E+0
354.000000000000060E+0	228.251453846977540E-3	19.621780338119372E+0
