Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
223.000000000000080E+0	19.518502200433449E+0	213.277430734507420E+0
224.000000000000080E+0	4.318882917131587E+0	94.115686667058568E+0
225.000000000000080E+0	9.519547366823501E+0	171.995628419057850E+0
226.000000000000080E+0	3.194213608514111E+0	74.986108036532912E+0
227.000000000000080E+0	8.378625182447355E+0	132.353568572777450E+0
228.000000000000080E+0	14.897426531787826E+0	272.247378804377320E+0
229.000000000000080E+0	7.819200283901853E+0	141.593205703412140E+0
230.000000000000080E+0	6.940496520980179E+0	56.429297237953300E+0
231.000000000000080E+0	12.531718305447770E+0	139.402541369787260E+0
232.000000000000080E+0	10.397161827506968E+0	174.965798361837070E+0
233.000000000000080E+0	2.701986209829429E+0	127.325608833856070E+0
234.000000000000080E+0	2.349884259499851E+0	165.115354607865410E+0
235.000000000000080E+0	3.685022818479312E+0	85.845752962457411E+0
236.000000000000080E+0	5.366314632316547E+0	130.079710810909690E+0
237.000000000000080E+0	5.496338774151917E+0	171.821086840667390E+0
238.000000000000080E+0	3.646805027727700E+0	230.824079154543740E+0
239.000000000000080E+0	850.953417520747600E-3	105.092515087798460E+0
240.000000000000080E+0	1.634793970372224E+0	67.232872873607889E+0
241.000000000000080E+0	4.399112298065748E+0	248.333281067672570E+0
242.000000000000080E+0	2.183335068095952E+0	164.065088292297730E+0
243.000000000000080E+0	966.900567937052150E-3	85.822797102353974E+0
244.000000000000080E+0	3.378721114077512E+0	179.903818963982250E+0
245.000000000000080E+0	1.710063064089448E+0	68.525805362894829E+0
246.000000000000080E+0	7.332325381719838E+0	174.007097238649920E+0
247.000000000000080E+0	7.035336289207223E+0	209.031686935117760E+0
248.000000000000080E+0	2.100986045978045E+0	117.998782897674570E+0
249.000000000000080E+0	312.419188653557720E-3	63.096487918956427E+0
250.000000000000080E+0	4.878228474430321E+0	147.356083679120330E+0
251.000000000000080E+0	8.070519474676814E+0	229.069752305642480E+0
252.000000000000080E+0	3.931611409179126E+0	110.120519476661340E+0
253.000000000000080E+0	2.181504848600789E+0	106.725174881606790E+0
254.000000000000080E+0	4.507570415218622E+0	123.029306725886130E+0
255.000000000000080E+0	12.515230018147767E+0	120.258373728950260E+0
256.000000000000110E+0	20.866556911749122E+0	140.537474834894170E+0
257.000000000000110E+0	19.694023985107343E+0	231.797722152542230E+0
258.000000000000110E+0	7.598122014808384E+0	73.610690128545414E+0
259.000000000000110E+0	3.356618976650852E+0	103.158160929810990E+0
260.000000000000110E+0	7.040944450066030E+0	285.062434016975490E+0
261.000000000000110E+0	1.480939125110027E+0	110.221818935385020E+0
262.000000000000110E+0	12.895092849018095E+0	113.597783704382100E+0
263.000000000000110E+0	30.796324699049400E+0	112.254743730543780E+0
264.000000000000110E+0	45.427860192538873E+0	122.830373642420030E+0
265.000000000000110E+0	40.909617977496438E+0	162.381518236511680E+0
266.000000000000110E+0	13.743553284132100E+0	165.150643970039060E+0
267.000000000000110E+0	21.641168203403417E+0	163.638866125332010E+0
268.000000000000110E+0	17.041985990564328E+0	54.826052227561398E+0
269.000000000000110E+0	3.266741825360508E+0	174.384271971619910E+0
270.000000000000110E+0	7.093579571128018E+0	306.810270444098310E+0
271.000000000000110E+0	198.941024743463120E-3	77.778496711791234E+0
272.000000000000110E+0	8.081786387961760E+0	127.595938411295750E+0
273.000000000000110E+0	7.171234506238743E+0	163.651039952938990E+0
274.000000000000110E+0	6.985991452019431E+0	142.963960864489620E+0
275.000000000000110E+0	8.261850778654903E+0	167.498957859639740E+0
276.000000000000110E+0	9.613654846667227E+0	227.434311858720600E+0
277.000000000000110E+0	14.673572333120575E+0	62.206914229099460E+0
278.000000000000110E+0	11.776233209588842E+0	175.114109761275020E+0
279.000000000000110E+0	27.401139832684311E+0	271.150508868519810E+0
280.000000000000110E+0	19.083358366601441E+0	177.125815289129150E+0
281.000000000000110E+0	11.529331331789910E+0	114.547501337617150E+0
282.000000000000110E+0	17.644389634113494E+0	122.568284703272840E+0
283.000000000000110E+0	52.566822460605564E+0	329.389123999622710E+0
284.000000000000110E+0	34.828775168588187E+0	146.294698941102690E+0
285.000000000000110E+0	67.355930150087673E+0	209.128130050139300E+0
286.000000000000110E+0	110.315815057826090E+0	230.439816542517660E+0
287.000000000000110E+0	53.033717801400186E+0	62.624583785922255E+0
288.000000000000110E+0	212.484445602840650E+0	365.050737698780380E+0
289.000000000000110E+0	165.924804699044610E+0	315.439169419041770E+0
290.000000000000110E+0	63.506441999417383E+0	93.275785294411904E+0
291.000000000000110E+0	84.877758922754964E+0	142.946477559306060E+0
292.000000000000110E+0	105.705511793697990E+0	230.619340777408810E+0
293.000000000000110E+0	96.846045091478714E+0	187.927442269748720E+0
294.000000000000110E+0	86.592753033131316E+0	160.341486253109250E+0
295.000000000000110E+0	74.175134083228826E+0	166.261728018499950E+0
296.000000000000110E+0	39.183081119453377E+0	122.742866508359910E+0
297.000000000000110E+0	35.363814090273266E+0	150.208820995866920E+0
298.000000000000110E+0	45.427119761321933E+0	272.013665147448700E+0
299.000000000000110E+0	26.070299936552328E+0	196.895091897289520E+0
300.000000000000110E+0	7.174311019777184E+0	65.024079813678057E+0
301.000000000000110E+0	13.890260426337935E+0	185.439049661673460E+0
302.000000000000110E+0	29.789650837832511E+0	336.623047928192420E+0
303.000000000000110E+0	7.671772549285995E+0	83.511788595533801E+0
304.000000000000110E+0	23.008637678105561E+0	209.350482270465360E+0
305.000000000000110E+0	13.648832191011587E+0	127.599440685139510E+0
306.000000000000110E+0	10.409219244091593E+0	114.855062156403820E+0
307.000000000000110E+0	27.448153858110793E+0	256.884082579070310E+0
308.000000000000110E+0	22.082674170215583E+0	191.218478846311540E+0
309.000000000000110E+0	12.296782534989154E+0	102.588845408763900E+0
310.000000000000110E+0	12.663170981770643E+0	102.869880970171860E+0
311.000000000000110E+0	37.046899813246220E+0	260.087655617547740E+0
312.000000000000110E+0	33.477516494959936E+0	239.394091611374360E+0
313.000000000000110E+0	19.214854005948670E+0	97.545090009857517E+0
314.000000000000110E+0	28.010680360332223E+0	157.935029613256320E+0
315.000000000000110E+0	31.470398486294790E+0	163.135046717069290E+0
316.000000000000110E+0	35.969796125767793E+0	149.105379917535800E+0
317.000000000000110E+0	64.596932284221495E+0	288.258666669374350E+0
318.000000000000110E+0	52.113245384810966E+0	187.366002957133450E+0
319.000000000000110E+0	10.922187923701014E+0	52.460885667944524E+0
320.000000000000110E+0	90.574150179783174E+0	299.161003149426390E+0
321.000000000000110E+0	122.948175434666500E+0	321.668456435924550E+0
322.000000000000110E+0	52.212505060772727E+0	123.818794742901470E+0
